tanggal,provinsi_id,provinsi,harga,avg,stddev,kelompok,persen,diff,show
2024-01-01,1,Aceh,52100.0,71750.0,39700.0,6,0.0,,True
2024-01-01,2,Sumatera Utara,57250.0,71750.0,39700.0,6,0.0,,True
2024-01-01,3,Sumatera Barat,43250.0,71750.0,39700.0,6,0.0,,True
2024-01-01,4,Riau,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,5,Kepulauan Riau,50200.0,71750.0,39700.0,6,0.0,,True
2024-01-01,6,Jambi,52600.0,71750.0,39700.0,6,0.0,,True
2024-01-01,7,Bengkulu,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,8,Sumatera Selatan,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,9,Kepulauan Bangka Belitung,74100.0,71750.0,39700.0,6,0.0,,True
2024-01-01,10,Lampung,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,11,Banten,61300.0,71750.0,39700.0,6,0.0,,True
2024-01-01,12,Jawa Barat,61800.0,71750.0,39700.0,6,0.0,,True
2024-01-01,13,DKI Jakarta,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,14,Jawa Tengah,56800.0,71750.0,39700.0,6,0.0,,True
2024-01-01,15,DI Yogyakarta,62500.0,71750.0,39700.0,6,0.0,,True
2024-01-01,16,Jawa Timur,52550.0,71750.0,39700.0,6,0.0,,True
2024-01-01,17,Bali,56250.0,71750.0,39700.0,6,0.0,,True
2024-01-01,18,Nusa Tenggara Barat,52550.0,71750.0,39700.0,6,0.0,,True
2024-01-01,19,Nusa Tenggara Timur,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,20,Kalimantan Barat,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,21,Kalimantan Selatan,55250.0,71750.0,39700.0,6,0.0,,True
2024-01-01,22,Kalimantan Tengah,68150.0,71750.0,39700.0,6,0.0,,True
2024-01-01,23,Kalimantan Timur,77550.0,71750.0,39700.0,6,0.0,,True
2024-01-01,24,Kalimantan Utara,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,25,Gorontalo,108350.0,71750.0,39700.0,6,0.0,,True
2024-01-01,26,Sulawesi Selatan,69650.0,71750.0,39700.0,6,0.0,,True
2024-01-01,27,Sulawesi Tenggara,133450.0,71750.0,39700.0,6,0.0,,True
2024-01-01,28,Sulawesi Tengah,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,29,Sulawesi Utara,93750.0,71750.0,39700.0,6,0.0,,True
2024-01-01,30,Sulawesi Barat,62150.0,71750.0,39700.0,6,0.0,,True
2024-01-01,31,Maluku,128150.0,71750.0,39700.0,6,0.0,,True
2024-01-01,32,Maluku Utara,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,33,Papua,0.0,71750.0,39700.0,7,0.0,,False
2024-01-01,34,Papua Barat,120000.0,71750.0,39700.0,6,0.0,,True
2024-01-02,1,Aceh,53150.0,76300.0,29450.0,5,2.02,Rp1050,True
2024-01-02,2,Sumatera Utara,62000.0,76300.0,29450.0,5,8.3,Rp4750,True
2024-01-02,3,Sumatera Barat,48500.0,76300.0,29450.0,5,12.14,Rp5250,True
2024-01-02,4,Riau,52700.0,76300.0,29450.0,6,0.0,,True
2024-01-02,5,Kepulauan Riau,57500.0,76300.0,29450.0,5,14.54,Rp7300,True
2024-01-02,6,Jambi,56900.0,76300.0,29450.0,5,8.17,Rp4300,True
2024-01-02,7,Bengkulu,41600.0,76300.0,29450.0,6,0.0,,True
2024-01-02,8,Sumatera Selatan,61150.0,76300.0,29450.0,6,0.0,,True
2024-01-02,9,Kepulauan Bangka Belitung,72200.0,76300.0,29450.0,4,-2.56,-Rp1900,True
2024-01-02,10,Lampung,60600.0,76300.0,29450.0,6,0.0,,True
2024-01-02,11,Banten,65050.0,76300.0,29450.0,4,6.12,Rp3750,True
2024-01-02,12,Jawa Barat,62650.0,76300.0,29450.0,5,1.38,Rp850,True
2024-01-02,13,DKI Jakarta,75850.0,76300.0,29450.0,6,0.0,,True
2024-01-02,14,Jawa Tengah,60800.0,76300.0,29450.0,5,7.04,Rp4000,True
2024-01-02,15,DI Yogyakarta,64400.0,76300.0,29450.0,4,3.04,Rp1900,True
2024-01-02,16,Jawa Timur,53150.0,76300.0,29450.0,5,1.14,Rp600,True
2024-01-02,17,Bali,56850.0,76300.0,29450.0,5,1.07,Rp600,True
2024-01-02,18,Nusa Tenggara Barat,48150.0,76300.0,29450.0,5,-8.37,-Rp4400,True
2024-01-02,19,Nusa Tenggara Timur,110200.0,76300.0,29450.0,6,0.0,,True
2024-01-02,20,Kalimantan Barat,53700.0,76300.0,29450.0,6,0.0,,True
2024-01-02,21,Kalimantan Selatan,54200.0,76300.0,29450.0,5,-1.9,-Rp1050,True
2024-01-02,22,Kalimantan Tengah,69400.0,76300.0,29450.0,4,1.83,Rp1250,True
2024-01-02,23,Kalimantan Timur,71450.0,76300.0,29450.0,4,-7.87,-Rp6100,True
2024-01-02,24,Kalimantan Utara,129400.0,76300.0,29450.0,6,0.0,,True
2024-01-02,25,Gorontalo,111650.0,76300.0,29450.0,2,3.05,Rp3300,True
2024-01-02,26,Sulawesi Selatan,67400.0,76300.0,29450.0,4,-3.23,-Rp2250,True
2024-01-02,27,Sulawesi Tenggara,132200.0,76300.0,29450.0,1,-0.94,-Rp1250,True
2024-01-02,28,Sulawesi Tengah,126250.0,76300.0,29450.0,6,0.0,,True
2024-01-02,29,Sulawesi Utara,79400.0,76300.0,29450.0,4,-15.31,-Rp14350,True
2024-01-02,30,Sulawesi Barat,59650.0,76300.0,29450.0,5,-4.02,-Rp2500,True
2024-01-02,31,Maluku,142500.0,76300.0,29450.0,1,11.2,Rp14350,True
2024-01-02,32,Maluku Utara,150000.0,76300.0,29450.0,6,0.0,,True
2024-01-02,33,Papua,94050.0,76300.0,29450.0,6,0.0,,True
2024-01-02,34,Papua Barat,88750.0,76300.0,29450.0,3,-26.04,-Rp31250,True
2024-01-03,1,Aceh,53350.0,74450.0,27500.0,5,0.38,Rp200,True
2024-01-03,2,Sumatera Utara,64200.0,74450.0,27500.0,4,3.55,Rp2200,True
2024-01-03,3,Sumatera Barat,47500.0,74450.0,27500.0,5,-2.06,-Rp1000,True
